Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Catfish,Giant Sea Catfish,Netuma thalassina,123,168,"2,989",889,"3,112",905,96%
Cods,Blackspotted Rockcod,Epinephelus malabaricus,526,285,"1,577",539,"2,104",657,75%
,Goldspotted Rockcod,Epinephelus coioides,531,295,"1,869",703,"2,400",909,78%
Coral Trout,Common Coral Trout,Plectropomus leopardus,665,290,777,374,"1,442",629,54%
Emperors,Grass Emperor,Lethrinus laticaudis,"2,875","2,077","5,701","4,606","8,576","6,662",66%
Giant Perch,Barramundi,Lates calcarifer,"1,203",334,"4,399","1,853","5,602","1,972",79%
Mackerels,Spanish Mackerel,Scomberomorus commerson,924,522,"1,006",630,"1,929","1,133",52%
Threadfins,Blue Threadfin,Eleutheronema tetradactylum,"1,392",450,984,432,"2,376",683,41%
,King Threadfin,Polydactylus macrochir,899,292,287,147,"1,185",349,24%
Trevallies,Golden Trevally,Gnathanodon speciosus,411,222,"2,119","1,031","2,529","1,107",84%
Tropical Snappers,Stripey Snapper,Lutjanus carponotatus,"3,458","1,357","5,317","1,508","8,776","2,505",61%
,Golden Snapper,Lutjanus johnii,"1,671",602,"2,515","1,135","4,186","1,655",60%
Wrasses,Blackspot Tuskfish,Choerodon schoenleinii,808,358,760,313,"1,568",567,48%
