Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Cods,Rankin Cod,Epinephelus multinotatus,"1,420",413,806,347,"2,226",643,36%
Coral Trout,Barcheek Coral Trout,Plectropomus maculatus,977,309,466,157,"1,443",379,32%
,Common Coral Trout,Plectropomus leopardus,"1,271",318,823,381,"2,094",547,39%
Emperors,Grass Emperor,Lethrinus laticaudis,"3,096",941,"9,569","4,559","12,665","5,058",76%
,Spangled Emperor,Lethrinus nebulosus,"1,381",484,"2,623","1,070","4,004","1,360",66%
Mackerels,Spanish Mackerel,Scomberomorus commerson,"1,365",379,867,316,"2,233",600,39%
Trevallies,Golden Trevally,Gnathanodon speciosus,287,187,"1,047",393,"1,334",449,78%
Tropical Snappers,Red Emperor,Lutjanus sebae,"2,364",689,"1,724",563,"4,088","1,116",42%
,Stripey Snapper,Lutjanus carponotatus,669,286,"4,774","1,686","5,444","1,758",88%
,Mangrove Jack,Lutjanus argentimaculatus,582,228,738,362,"1,320",480,56%
Wrasses,Blackspot Tuskfish,Choerodon schoenleinii,662,213,"1,582","1,157","2,244","1,195",70%
