Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Cephalopods,Squid,Order Teuthoidea - undifferentiated,"20,903","10,496",498,272,"21,401","10,542",2%
Lobster,Western Rock Lobster,Panulirus cygnus,"29,950","16,842","7,532","6,342","37,482","22,975",20%
Crab,Blue Swimmer Crab,Portunus armatus,"57,227","24,197","132,428","106,244","189,655","128,442",70%
Breams,Pink Snapper,Chrysophrys auratus,"5,416","1,153","15,528","3,227","20,944","4,072",74%
Cods,Breaksea Cod,Epinephelides armatus,"1,840",483,745,308,"2,586",694,29%
Pearl Perch,West Australian Dhufish,Glaucosoma hebraicum,"6,268","1,305","6,317","1,629","12,584","2,788",50%
Salmon Herrings,Australian Herring,Arripis georgianus,"57,453","27,515","11,967","4,710","69,421","30,135",17%
Trevallies,Silver Trevallies,Pseudocaranx georgianus spp. complex,"8,644","4,845","4,045","1,716","12,689","5,564",32%
Whitings,King George Whiting,Sillaginodes punctatus,"14,035","4,581","10,384","4,847","24,419","8,778",43%
Wrasses,Western King Wrasse,Coris auricularis,"2,068","1,073","6,189","1,903","8,256","2,287",75%
