Reporting Group,Common Name,Scientific Name,Kept,se,Released,se,Total,se,% Rel
Cephalopods,Octopus,Octopodidae - undifferentiated,29,38,0,0,29,38,0%
,Squid,Order Teuthoidea - undifferentiated,"2,184",874,195,193,"2,379",938,8%
Lobster,Painted Rock Lobster,Panulirus versicolor,273,208,14,19,287,212,5%
,Ornate Rock Lobster,Panulirus ornatus,150,122,0,0,150,122,0%
Crab,Blue Swimmer Crab,Portunus armatus,"3,525","1,553","1,253",667,"4,778","2,136",26%
,Green Mud Crab,Scylla serrata,"1,694",819,893,349,"2,588","1,116",35%
,Brown Mud Crab,Scylla olivacea,"1,918",749,"2,002",930,"3,920","1,611",51%
Sharks,Blacktip Reef Shark,Carcharhinus melanopterus,47,42,"2,222",788,"2,269",791,98%
,Dusky Whaler,Carcharhinus obscurus,20,27,500,330,520,331,96%
,Lemon Shark,Negaprion acutidens,0,0,19,20,19,20,100%
,Sandbar Shark,Carcharhinus plumbeus,0,0,172,130,172,130,100%
,Tiger Shark,Galeocerdo cuvier,0,0,50,33,50,33,100%
,Whitetip Reef Shark,Triaenodon obesus,0,0,309,189,309,189,100%
,Whaler Sharks,Carcharhinidae - undifferentiated,0,0,370,265,370,265,100%
,Hammerhead Sharks,Sphyrnidae - undifferentiated,0,0,14,19,14,19,100%
,Western Spotted Gummy Shark,Mustelus stevensi,0,0,147,127,147,127,100%
,Sharks,Sharks - undifferentiated,23,24,"1,418",499,"1,441",500,98%
Rays,Sawfish,Pristidae - undifferentiated,0,0,98,55,98,55,100%
,Western Shovelnose Ray,Aptychotrema vincentiana,0,0,25,23,25,23,100%
,Rays,Order Rajiformes - undifferentiated,0,0,57,44,57,44,100%
Billfish,Black Marlin,Makaira indica,0,0,55,38,55,38,100%
,Blue Marlin,Makaira nigricans,0,0,46,47,46,47,100%
,Sailfish,Istiophorus platypterus,15,19,968,550,983,551,99%
Bonito,Bonito,Sarda australis & Cybiosarda elegans,22,21,14,19,36,39,40%
Breams,Northwest Black Bream,Acanthopagrus palmaris,123,86,"1,100",570,"1,223",581,90%
,Western Yellowfin Bream,Acanthopagrus morrisoni,199,153,839,423,"1,038",478,81%
,Breams,Sparidae - undifferentiated,147,189,32,30,179,191,18%
Catfish,Eeltail Catfish,Plotosidae - undifferentiated,67,66,623,311,690,341,90%
,Giant Sea Catfish,Netuma thalassina,123,168,"3,822","1,002","3,945","1,016",97%
,Silver Cobbler,Neoarius midgleyi,80,75,844,556,924,572,91%
,Forktail Catfishes,Ariidae - undifferentiated,0,0,"1,522",659,"1,522",659,100%
Cobia,Cobia,Rachycentron canadum,343,119,441,176,784,260,56%
Cods,Barramundi Cod,Chromileptes altivelis,40,28,5,7,45,31,11%
,Blackspotted Rockcod,Epinephelus malabaricus,665,296,"2,623",738,"3,288",840,80%
,Blacktip Rockcod,Epinephelus fasciatus,0,0,94,59,94,59,100%
,Chinaman Rockcod,Epinephelus rivulatus,"1,981","1,248","1,299","1,131","3,280","2,098",40%
,Eightbar Grouper,Hyporthodus cf octofasciatus,7,9,14,19,21,28,67%
,Frostback Rockcod,Epinephelus bilobatus,26,26,154,135,180,147,85%
,Goldspotted Rockcod,Epinephelus coioides,874,327,"2,652",965,"3,525","1,159",75%
,Potato Rockcod,Epinephelus tukula,0,0,35,48,35,48,100%
,Queensland Groper,Epinephelus lanceolatus,0,0,9,8,9,8,100%
,Rankin Cod,Epinephelus multinotatus,"1,726",435,"1,217",405,"2,943",719,41%
,Tomato Rockcod,Cephalopholis sonnerati,92,60,96,56,189,91,51%
,Yellowspotted Rockcod,Epinephelus areolatus,587,484,644,270,"1,232",571,52%
,Temperate Basses & Rockcods,"Percichthyidae, Serranidae - undifferentiated",55,51,614,420,669,460,92%
Coral Trout,Barcheek Coral Trout,Plectropomus maculatus,"1,405",386,"1,125",496,"2,530",774,44%
,Common Coral Trout,Plectropomus leopardus,"1,936",440,"1,600",535,"3,536",848,45%
,Yellowedge Coronation Trout,Variola louti,58,48,0,0,58,48,0%
Emperors,Bluespotted Emperor,Lethrinus punctulatus,312,175,444,325,756,467,59%
,Grass Emperor,Lethrinus laticaudis,"5,971","2,281","15,270","6,487","21,241","8,371",72%
,Longnose Emperor,Lethrinus olivaceus,252,140,26,18,279,143,9%
,Redspot Emperor,Lethrinus lentjan,15,19,104,100,119,111,88%
,Redthroat Emperor,Lethrinus miniatus,925,560,815,453,"1,740",823,47%
